       sku       asin price quantity
 ertan-465 B081R88G9V     0        0
 ertan-466 B074YHPSYS     0        0
 ertan-467 B07BJ8V9YR     0        0
 ertan-468 B09X9YMQMT     0        0
 ertan-469 B07YF24PK7     0        0
 ertan-470 B075WYNQMJ     0        0
 ertan-471 B07Q576LMW     0        0
 ertan-472 B09196V3VD     0        0
 ertan-473 B07WVSDB8W     0        0
 ertan-474 B07V5V3MQY     0        0
 ertan-475 B081RD7H1K     0        0
 ertan-476 B07GXXDDCN     0        0
 ertan-477 B08GJFTQ3F     0        0
 ertan-478 B07VRCFKQR     0        0
 ertan-479 B08L7JRVGS     0        0
 ertan-480 B099626C21     0        0
 ertan-481 B08Z3VRWMF     0        0
 ertan-482 B07V5VS3FB     0        0
 ertan-483 B09HV1LXL3     0        0
 ertan-484 B07H8N62HS     0        0
 ertan-485 B0B533Y6YJ     0        0
 ertan-486 B08CXBFN2K     0        0
 ertan-487 B01MQVNM3R     0        0
 ertan-488 B08M62NWTG     0        0
 ertan-489 B0157T1ZK2     0        0
 ertan-490 B007RZKCY0     0        0
 ertan-491 B07D3K9K5D     0        0
 ertan-492 B07Y27HMJT     0        0
 ertan-493 B00YFJI4AU     0        0
 ertan-494 B06XGLCTPM     0        0
 ertan-495 B00RW8IG8G     0        0
 ertan-496 B01CRM9L44     0        0
 ertan-497 B014HLUU2U     0        0
 ertan-498 B09P8623QT     0        0
 ertan-499 B01KXAQZQO     0        0
 ertan-500 B097TD4K25     0        0
 ertan-501 B09GTZ1ZBL     0        0
 ertan-502 B08LD8CK9H     0        0
 ertan-503 B07WLT6SCD     0        0
 ertan-504 B09Z7K9FB9     0        0
 ertan-505 B076BQYP62     0        0
 ertan-506 B00JXBEFAS     0        0
 ertan-507 B077CPBD4K     0        0
 ertan-508 B08H5GYSB2     0        0
 ertan-509 B000GKW8VI     0        0
 ertan-510 B07WT7HXDR     0        0
 ertan-511 B08YWBVP67     0        0
 ertan-512 B0792J5NGK     0        0
 ertan-513 B077LVCWDQ     0        0
 ertan-514 B095HZ4YFX     0        0
 ertan-515 B08HSGZDDC     0        0
 ertan-516 B075KMH6C8     0        0
 ertan-517 B003USYYUQ     0        0
 ertan-518 B08CX6V4NQ     0        0
 ertan-519 B093GNK257     0        0
 ertan-520 B07B9JGRDV     0        0
 ertan-521 B00NIV0UVM     0        0
 ertan-522 B095CGJ9ZP     0        0
 ertan-523 B0048GTY22     0        0
 ertan-524 B01N6JPK0Z     0        0
 ertan-525 B07BRCC54Z     0        0
 ertan-526 B08KD8DJNP     0        0
 ertan-527 B07TS9BJPK     0        0
 ertan-528 B077FX3FGH     0        0
 ertan-529 B08TH93HZ6     0        0
 ertan-530 B09F2ZQ2YN     0        0
 ertan-531 B003FC6WT8     0        0
 ertan-532 B007RAQTTC     0        0
 ertan-533 B0775QFJXW     0        0
 ertan-534 B08LBLR8VG     0        0
 ertan-535 B00K7VVUOC     0        0
 ertan-536 B082KLK9KH     0        0
 ertan-537 B07S165RZM     0        0
 ertan-538 B07GWPC7L4     0        0
 ertan-539 B087Q3LFQB     0        0
 ertan-540 B08Q3DSPC8     0        0
 ertan-541 B083WJ98GZ     0        0
 ertan-542 B08PBXJNLZ     0        0
 ertan-543 B07HBBGBVK     0        0
 ertan-544 B09N7531PL     0        0
 ertan-545 B07H1PN3LR     0        0
 ertan-546 B09BC21FTD     0        0
 ertan-547 B08RYSMN8N     0        0
 ertan-548 B00IXCZAV6     0        0
 ertan-549 B07QNNYQ4H     0        0
 ertan-550 B00RLCZJBU     0        0
 ertan-551 B09VLFYLR4     0        0
 ertan-552 B07QBB7GN6     0        0
 ertan-553 B01N04L6MN     0        0
 ertan-554 B07FZY181K     0        0
 ertan-555 B0B6VN4TKK     0        0
 ertan-556 B0B4DCZM9W     0        0
 ertan-557 B07DC4BKXF     0        0
 ertan-558 B07PK1XXZT     0        0
 ertan-559 B07RGQXC42     0        0
 ertan-560 B0051A5K9U     0        0
 ertan-561 B07Q6HHDJ4     0        0
 ertan-562 B07F851TP3     0        0
 ertan-563 B07DBZSQQL     0        0
 ertan-564 B07SGMRTV1     0        0
 ertan-565 B08NJJQHRK     0        0
 ertan-566 B09ZXWGBB8     0        0
 ertan-567 B07D9R8ZBC     0        0
 ertan-568 B08S33WSWY     0        0
 ertan-569 B01N6P5TD3     0        0
 ertan-570 B08NYR3Y3K     0        0
 ertan-571 B08XPQ52LX     0        0
 ertan-572 B01N673UH6     0        0
 ertan-573 B08DQW242G     0        0
 ertan-574 B07TJGVLXS     0        0
 ertan-575 B081S6RJLJ     0        0
 ertan-576 B08C7TGFS3     0        0
 ertan-577 B089T6ZVVX     0        0
 ertan-578 B081Y8YW1J     0        0
 ertan-579 B08LKMBMD2     0        0
 ertan-580 B07X14NWJG     0        0
 ertan-581 B086HP63K9     0        0
 ertan-582 B082HG88QZ     0        0
 ertan-583 B0836Z7PWG     0        0
 ertan-584 B09CCXNTQT     0        0
 ertan-585 B08N4168TK     0        0
 ertan-586 B07TV1TYXK     0        0
 ertan-587 B07L89S4VX     0        0
 ertan-588 B08XXBYRV1     0        0
 ertan-589 B07DQGV84Y     0        0
 ertan-590 B082PS6MFH     0        0
 ertan-591 B07S46LNDW     0        0
 ertan-592 B00DV6APQO     0        0
 ertan-593 B08F7F4TCR     0        0
 ertan-594 B096ZXY48V     0        0
 ertan-595 B08JTN9P2D     0        0
 ertan-596 B08DVGBSQC     0        0
 ertan-597 B08XZ1QY9R     0        0
 ertan-598 B08GS612FH     0        0
 ertan-599 B08312SW5H     0        0
 ertan-600 B08H8R5C56     0        0
 ertan-601 B09XCWL764     0        0
 ertan-602 B08CDV4QHG     0        0
 ertan-603 B08L4MTN45     0        0
 ertan-604 B07JZBP7VF     0        0
 ertan-605 B0B1JDDCNL     0        0
 ertan-606 B0B1WBJ2BR     0        0
 ertan-607 B0141QSMCG     0        0
 ertan-608 B07SD7D7LC     0        0
 ertan-609 B085RK5HXF     0        0
 ertan-610 B08YFD2L24     0        0
 ertan-611 B07G7ZYJNP     0        0
 ertan-612 B08278N6SW     0        0
 ertan-613 B07DPBMB61     0        0
 ertan-614 B07588KFZ9     0        0
 ertan-615 B09QW66F3M     0        0
 ertan-616 B088BG354J     0        0
 ertan-617 B09PLJ4TQY     0        0
 ertan-618 B09K738WQ7     0        0
 ertan-619 B07X48LV7K     0        0
 ertan-620 B09FTMXHFR     0        0
 ertan-621 B09LYKSXMM     0        0
 ertan-622 B0B6V95ZPF     0        0
 ertan-623 B01NCQ5AG0     0        0
 ertan-624 B013RXJODU     0        0
 ertan-625 B08SBZW6HX     0        0
 ertan-626 B08F92GYWF     0        0
 ertan-627 B07SDCQB2R     0        0
 ertan-628 B01MXMN6MG     0        0
 ertan-629 B00CKK1M96     0        0
 ertan-630 B08PK3P2CW     0        0
 ertan-631 B09JP17WXL     0        0
 ertan-632 B01MS6XXOB     0        0
 ertan-633 B08FWXXDBM     0        0
 ertan-634 B07VQYFCTL     0        0
 ertan-635 B07BL1Z19L     0        0
 ertan-636 B09XM9VKWK     0        0
 ertan-637 B07GT9CJSP     0        0
 ertan-638 B08HD92S48     0        0
 ertan-639 B07XYJFXBC     0        0
 ertan-640 B08C7Y42JL     0        0
 ertan-641 B07CP6H5FM     0        0
 ertan-642 B08HQH1GQ6     0        0
 ertan-643 B07RDJ8B6W     0        0
 ertan-644 B015BYCPL6     0        0
 ertan-645 B087FQLQZT     0        0
 ertan-646 B09FP92RVT     0        0
 ertan-647 B01N5PW4PD     0        0
 ertan-648 B07PPWS2G8     0        0
 ertan-649 B092T84KLC     0        0
 ertan-650 B07Y7W8D8P     0        0
 ertan-651 B091XWSKDP     0        0
 ertan-652 B07Q6QMR8S     0        0
 ertan-653 B08L647R1M     0        0
 ertan-654 B0978C7KP6     0        0
 ertan-655 B08KS184PV     0        0
 ertan-656 B095YHQF34     0        0
 ertan-657 B073RGFMX4     0        0
 ertan-658 B084KY8BDT     0        0
 ertan-659 B07VZM4JLS     0        0
 ertan-660 B09BB1597D     0        0
 ertan-661 B08P2VW9X2     0        0
 ertan-662 B07H8B8SLK     0        0
 ertan-663 B07XNT9YRK     0        0
 ertan-664 B01FR6LLNG     0        0
 ertan-665 B085PVXJBX     0        0
 ertan-666 B08KW2HHZ3     0        0
 ertan-667 B07Y2GG69D     0        0
 ertan-668 B09MQ8RY2Q     0        0
 ertan-669 B07NYBCZBC     0        0
 ertan-670 B0932XM9C7     0        0
 ertan-671 B0969B9HG6     0        0
 ertan-672 B08HVXDJD8     0        0
 ertan-673 B07MZNKJQK     0        0
 ertan-674 B09WMFDKRS     0        0
 ertan-675 B075P1198B     0        0
